500 250000
187 416 55
265 143 28
16 459 99
127 86 56
56 345 18
36 194 41
433 44 23
59 118 57
469 12 15
169 164 83
120 412 39
394 417 98
144 94 16
54 440 48
228 91 97
269 189 83
51 65 13
233 374 12
342 167 10
66 45 17
193 337 70
4 442 12
145 196 50
223 333 3
171 390 74
463 203 68
229 142 99
215 451 32
366 245 98
61 348 65
324 233 31
431 424 42
373 142 68
110 200 10
388 383 21
346 492 43
191 215 64
336 452 38
317 249 89
479 449 95
407 497 49
169 438 35
67 474 51
480 275 76
299 456 74
413 82 1
413 78 62
334 132 94
8 116 40
461 137 89
333 23 46
415 420 67
378 149 20
128 374 30
20 399 63
8 240 62
53 411 62
82 232 47
85 365 51
179 12 83
344 372 77
3 194 44
329 237 27
408 113 55
275 244 95
49 99 86
14 327 74
365 220 86
213 425 93
327 38 76
217 176 40
400 212 24
427 272 88
346 130 4
71 433 89
378 2 60
56 407 10
366 159 56
465 13 34
494 283 76
285 240 43
254 96 23
396 498 4
103 464 98
494 347 52
12 437 72
312 491 27
207 110 71
94 152 54
76 206 26
356 342 87
265 434 38
408 428 81
136 410 73
447 269 66
166 431 16
483 242 44
331 485 73
478 55 99
497 239 36
64 270 54
107 261 85
17 50 48
61 24 11
128 38 71
332 140 87
273 271 42
36 204 14
445 450 4
54 264 75
456 234 90
261 464 99
94 154 9
231 196 34
380 307 87
342 481 41
479 286 76
459 311 6
42 450 71
273 295 52
431 326 12
457 119 84
387 464 23
34 162 82
433 44 13
488 447 81
205 367 91
262 455 1
381 56 3
282 463 82
160 189 52
282 253 97
199 310 74
41 136 75
1 484 21
394 220 17
187 299 47
255 460 87
460 289 41
34 59 90
141 234 21
216 360 87
201 343 38
128 337 56
429 374 91
348 342 25
176 351 52
352 367 71
222 295 18
82 47 71
38 311 37
321 269 98
151 133 5
362 341 61
437 264 100
200 227 78
271 16 45
66 338 44
460 422 65
315 320 29
146 358 71
32 11 38
469 311 72
160 45 53
90 30 73
464 108 11
220 19 15
96 72 61
44 151 80
68 366 21
440 242 59
351 296 45
124 282 95
390 448 56
333 427 74
35 409 15
487 297 53
93 484 96
68 174 58
473 13 65
228 221 66
141 322 49
480 194 98
120 238 8
235 85 61
5 446 50
318 58 10
340 80 82
321 197 41
187 10 86
88 22 50
238 194 69
378 71 90
132 187 56
300 325 72
235 109 81
77 186 43
477 441 21
27 57 74
110 481 97
166 166 61
378 118 20
345 460 87
461 239 25
349 167 20
57 232 54
496 354 15
252 77 31
475 345 99
491 268 24
157 112 74
145 100 16
223 124 94
275 243 66
435 491 26
20 281 7
174 126 83
344 20 46
475 62 100
338 456 18
25 22 2
427 175 63
165 295 13
302 366 61
76 157 94
394 209 88
293 293 83
403 431 67
488 200 13
88 126 37
334 444 34
109 1 31
41 108 44
404 432 52
488 260 98
138 404 44
374 471 60
448 115 41
158 212 87
385 147 9
214 158 68
236 168 76
202 360 79
116 324 81
273 273 44
401 78 60
28 171 21
420 335 63
189 412 36
482 73 90
426 119 59
422 96 10
190 368 39
409 247 87
19 137 66
483 291 32
136 62 79
110 39 83
188 68 69
184 159 9
131 102 21
440 427 83
0 319 80
124 498 63
190 265 23
256 161 38
184 445 91
248 486 49
50 345 25
357 349 40
454 166 95
158 429 57
247 426 41
418 134 93
211 378 66
406 105 75
52 63 11
335 77 33
63 24 11
366 178 23
383 146 16
339 227 1
214 162 50
92 52 31
276 318 100
106 83 45
289 333 85
258 221 7
487 51 87
76 431 4
422 129 16
305 95 30
54 212 90
118 217 26
119 22 18
176 40 10
277 128 83
182 339 33
389 65 71
209 378 52
173 322 29
117 399 33
445 198 91
390 191 26
484 32 82
276 164 53
60 420 51
238 379 58
426 371 59
40 150 2
20 476 8
398 460 80
181 410 79
475 417 7
220 394 85
355 299 63
163 336 50
30 362 59
100 281 5
450 12 17
301 348 52
316 447 12
118 326 5
288 38 86
65 17 41
402 264 44
497 313 49
16 361 40
53 471 3
212 331 70
44 341 58
418 448 53
147 429 47
315 181 86
255 294 92
133 19 65
289 164 91
102 468 11
134 132 41
82 481 62
17 32 81
13 373 59
415 18 17
480 468 26
462 415 53
27 11 21
222 428 10
341 275 60
395 127 44
48 422 83
332 451 52
88 33 40
197 325 16
315 65 18
321 200 39
39 131 13
428 97 76
63 219 92
391 13 45
52 167 57
183 64 21
155 229 48
283 100 83
111 88 20
304 415 12
233 498 57
12 77 68
236 423 13
435 385 68
12 221 61
256 491 76
84 4 63
455 423 40
70 479 64
419 374 72
73 87 100
35 176 61
481 396 14
74 16 14
456 434 97
444 454 94
277 439 3
357 234 97
127 399 81
432 374 57
76 71 90
473 19 3
452 303 67
319 293 42
282 482 41
161 140 47
241 369 92
250 73 7
36 405 79
268 363 62
88 62 45
352 38 11
344 2 32
396 111 97
362 34 83
461 353 16
230 422 23
50 364 13
189 356 5
406 499 48
434 127 97
457 328 18
185 20 75
140 190 76
475 182 23
51 381 56
258 497 90
190 318 48
41 134 9
450 46 44
367 50 23
353 195 39
359 396 85
344 354 56
453 53 57
106 216 99
267 286 69
6 420 1
270 496 46
219 164 46
270 228 12
63 394 16
417 49 85
199 177 68
395 279 84
466 456 1
348 73 47
228 274 60
133 357 69
129 292 28
94 33 1
28 232 93
286 58 2
61 96 68
175 475 87
252 413 94
188 184 15
130 240 62
145 160 83
145 14 59
131 486 38
277 163 49
33 471 76
453 472 76
392 267 26
289 222 23
3 339 81
93 414 12
13 155 62
368 156 12
395 39 30
209 294 42
85 316 83
334 100 1
350 174 27
333 290 79
367 466 74
451 68 22
421 338 25
280 85 8
155 205 56
376 363 84
309 242 81
260 323 88
482 227 83
443 251 4
483 320 99
123 282 75
92 338 38
89 33 48
190 194 40
373 71 34
376 8 74
328 6 16
416 341 45
355 205 98
499 430 22
461 126 67
362 451 29
33 360 96
177 380 37
481 8 13
237 230 61
1 487 51
233 427 98
163 366 44
478 25 51
78 109 88
344 326 68
75 124 94
477 335 96
64 426 32
406 181 44
279 192 2
399 148 55
182 47 68
417 435 88
382 131 12
109 220 56
158 167 15
319 236 73
487 472 7
109 128 90
358 103 69
43 152 65
379 417 81
16 72 49
324 21 62
168 372 8
319 483 14
302 198 28
248 314 67
326 262 10
430 492 18
59 201 15
114 307 64
354 59 59
226 360 98
195 214 17
422 466 52
161 44 43
438 278 59
57 460 45
449 150 27
401 407 47
194 260 29
324 23 82
273 232 25
8 122 8
332 478 2
370 370 90
25 0 33
362 30 76
8 228 70
163 294 63
384 105 64
17 89 75
292 430 52
42 240 58
467 462 96
72 401 53
123 245 44
163 284 46
491 102 89
46 32 81
410 269 49
66 72 71
229 382 62
373 397 10
269 181 86
392 484 21
317 178 54
191 375 6
139 56 71
4 319 7
94 366 46
356 450 48
286 443 61
456 147 66
383 131 76
371 359 61
335 495 64
350 326 96
419 427 34
151 328 17
53 177 34
493 364 5
139 206 56
458 35 24
493 284 66
278 50 73
257 38 84
137 157 24
229 496 54
393 321 23
94 110 19
87 487 34
139 229 72
293 276 74
197 192 13
340 198 14
318 42 77
168 44 23
271 233 15
330 476 75
400 265 100
123 286 55
339 65 82
287 78 48
46 252 68
18 432 72
191 196 72
81 67 69
368 318 64
296 173 67
157 199 86
28 110 10
329 265 23
46 106 71
295 412 56
290 259 64
48 375 93
439 489 89
210 211 53
313 359 17
70 471 20
4 208 59
114 18 64
373 99 85
63 58 81
497 456 84
287 133 49
73 60 75
132 83 38
224 466 64
469 165 37
417 274 49
331 301 65
297 48 49
26 230 48
75 59 29
10 476 59
328 201 46
437 65 37
467 17 9
234 288 68
80 485 58
214 80 32
328 392 95
380 146 44
385 275 33
313 271 4
4 81 22
202 311 38
453 369 84
269 399 32
347 85 5
288 327 41
159 147 75
269 265 68
477 94 58
295 387 82
453 105 41
91 48 78
439 97 86
487 219 38
372 494 27
441 221 6
137 483 79
149 220 73
66 25 1
124 345 11
2 57 67
478 471 29
309 471 82
145 220 11
276 321 21
235 67 62
439 304 95
39 401 70
7 134 7
395 304 45
478 433 92
15 458 53
257 276 52
78 100 17
488 3 3
294 391 73
91 150 39
266 479 85
108 256 2
413 27 24
431 203 4
67 184 65
493 126 20
312 463 87
270 407 50
452 219 60
417 272 20
100 142 26
334 447 23
93 163 50
447 118 26
451 269 89
130 484 92
451 260 16
384 406 18
314 177 67
398 448 6
353 105 52
52 66 67
127 480 90
497 284 94
132 77 67
328 42 6
390 245 90
188 177 44
391 335 62
294 77 25
366 215 88
230 390 79
481 268 53
373 124 56
460 233 55
139 476 41
370 477 96
214 339 45
294 300 17
186 304 51
2 127 17
5 443 31
138 326 99
139 91 19
325 228 43
391 22 1
339 408 39
310 132 99
308 176 44
14 162 40
406 51 12
46 222 38
401 108 52
403 321 73
19 367 9
394 474 33
373 111 82
149 234 29
310 141 43
459 231 36
0 379 6
488 297 91
45 239 13
86 33 18
231 174 57
235 426 45
147 422 89
384 73 51
326 478 81
103 96 18
2 452 40
304 455 90
21 6 32
368 152 48
436 84 11
109 86 33
251 465 52
399 433 97
480 176 9
294 485 13
114 418 54
368 166 19
384 166 94
247 462 97
238 158 52
205 363 87
94 335 59
414 352 27
98 494 93
43 471 7
88 413 13
323 407 90
162 475 59
428 187 13
482 383 63
153 151 92
183 4 16
491 383 45
491 203 78
383 183 36
325 468 99
157 5 21
352 132 95
38 255 62
29 477 30
368 27 23
224 121 89
44 229 55
460 253 61
474 300 95
248 427 79
354 347 4
51 452 85
452 287 96
164 143 86
335 497 41
302 370 91
469 172 86
197 140 99
202 250 16
445 95 17
159 363 50
486 25 74
391 408 39
289 177 86
445 65 54
101 467 83
141 36 71
469 43 55
35 100 24
182 347 27
431 346 86
200 97 26
266 359 46
107 422 44
294 494 20
427 276 19
72 268 97
372 324 82
147 88 2
491 356 5
360 389 7
294 431 25
182 390 96
41 115 10
363 65 9
122 417 43
367 222 21
95 364 85
164 378 46
467 55 63
145 120 69
36 386 69
298 395 45
274 162 44
489 179 51
173 192 56
384 317 63
279 375 37
460 48 69
490 23 85
80 427 31
134 482 19
62 357 62
334 103 9
373 169 75
348 59 77
267 427 11
186 14 2
196 402 48
422 474 100
279 62 18
66 74 42
50 294 72
232 341 66
227 186 44
451 278 81
345 316 16
246 333 29
30 70 1
214 433 29
461 407 54
37 142 5
43 267 26
478 479 34
78 47 57
82 72 43
30 423 2
365 145 23
12 90 68
128 242 37
473 51 46
196 204 83
158 248 24
49 297 82
365 336 76
133 29 38
112 316 90
430 319 23
465 257 92
170 112 87
283 111 78
199 98 89
492 308 43
95 396 91
108 287 87
442 41 31
12 159 92
414 499 53
134 428 3
257 242 52
426 341 24
315 195 97
68 130 31
343 301 2
136 385 77
52 385 47
120 315 60
308 441 5
281 209 36
114 310 88
209 49 25
411 314 70
313 26 81
274 313 40
329 233 29
17 447 77
255 432 48
135 359 12
319 226 71
257 189 38
436 270 50
16 410 99
339 69 50
464 377 4
269 369 61
467 212 52
412 426 88
361 159 24
152 205 49
497 495 38
38 176 44
369 100 9
144 145 28
410 272 8
414 31 68
300 150 29
132 119 56
152 305 61
24 6 11
226 187 76
339 52 5
180 209 40
52 445 93
81 137 97
198 399 82
113 318 29
401 468 73
461 165 66
426 169 62
101 217 63
234 357 16
435 131 85
140 13 21
155 175 62
458 489 24
391 61 66
235 489 31
242 92 69
72 429 66
297 363 81
301 492 98
0 354 97
172 105 50
267 480 43
163 141 3
182 35 62
395 463 42
244 372 20
355 129 3
432 323 7
86 61 19
74 294 75
8 417 20
75 284 21
116 94 32
57 204 22
494 459 22
335 449 85
353 454 8
56 106 87
111 394 34
75 328 27
98 481 79
157 28 38
361 98 30
383 292 75
153 162 56
162 57 90
326 114 7
324 242 46
460 212 54
373 333 45
286 337 79
271 403 26
26 351 13
387 189 70
497 243 2
204 136 67
85 241 69
236 407 33
466 252 85
348 186 10
441 204 75
214 45 55
63 400 31
294 385 89
270 24 12
240 44 21
67 266 12
103 136 41
51 331 6
140 434 80
385 168 43
29 486 52
115 272 4
114 247 23
356 89 20
312 472 63
121 70 71
148 70 64
485 85 52
268 404 83
267 417 32
497 424 97
68 386 49
75 331 12
67 86 42
445 48 14
3 223 97
488 355 51
222 389 8
276 370 41
488 186 22
142 199 90
3 267 51
384 12 34
353 88 48
495 367 27
93 176 67
301 15 38
167 293 89
281 467 85
85 166 36
96 426 15
413 158 27
486 293 70
196 468 73
68 262 53
412 322 51
311 465 21
276 455 59
80 222 20
157 129 33
287 230 84
425 454 47
30 122 69
317 252 7
479 457 72
50 74 35
221 216 4
312 402 36
234 316 18
386 131 45
143 383 68
36 445 31
148 141 57
470 50 11
334 400 66
410 49 61
232 167 34
138 329 69
413 390 48
413 246 96
329 268 35
241 481 32
88 381 70
191 365 25
263 44 56
129 412 84
27 191 36
477 145 64
327 193 77
363 282 2
60 21 51
413 63 95
297 366 29
251 478 24
144 13 85
147 43 30
367 18 13
112 234 66
368 29 35
393 52 47
62 452 16
416 364 17
185 260 5
244 179 39
77 154 78
488 260 71
186 476 79
306 292 96
406 495 32
260 175 23
496 341 36
473 290 57
208 425 78
201 126 24
255 224 5
42 0 88
208 51 96
175 320 57
280 224 75
403 238 23
256 168 1
330 323 23
191 442 20
230 174 99
182 273 3
304 33 71
494 167 32
497 288 69
195 82 24
154 3 38
284 56 36
394 396 34
439 405 81
12 283 91
140 298 42
276 454 31
110 55 91
487 266 96
215 29 7
168 57 18
324 244 63
495 266 81
181 175 46
412 190 85
261 50 100
322 458 23
67 150 30
60 364 13
353 490 46
85 253 77
254 419 95
18 429 47
343 207 86
388 201 50
224 397 67
492 199 19
174 352 76
380 324 79
417 178 68
6 369 57
280 497 84
414 277 95
242 345 13
390 399 77
150 445 25
179 456 57
341 421 81
386 416 42
141 111 64
156 300 77
52 38 60
144 227 64
416 219 17
156 275 63
164 166 78
460 144 71
53 241 77
184 105 5
303 19 99
422 413 61
489 254 84
347 42 96
118 21 68
407 274 80
271 158 75
231 217 27
109 175 4
51 389 36
60 174 45
52 70 33
232 415 83
212 392 56
105 302 70
397 243 77
171 130 48
82 16 80
403 75 88
260 384 39
139 125 15
263 7 88
328 452 71
152 418 49
27 335 1
324 483 80
356 371 37
266 109 48
330 125 80
111 69 40
238 316 83
395 82 62
343 36 75
147 25 2
50 329 31
262 55 78
444 210 54
256 169 22
196 433 5
42 219 67
397 195 8
458 210 38
213 27 14
100 363 89
240 490 18
155 111 9
70 490 57
375 187 60
93 109 8
118 51 14
478 339 66
356 150 71
119 26 84
152 101 14
178 131 65
341 355 58
303 241 82
46 256 50
161 328 47
329 44 1
486 239 75
392 346 47
446 399 87
283 414 50
383 341 58
101 355 73
482 461 51
241 161 62
203 174 45
435 98 26
450 255 99
256 107 64
280 273 54
106 382 21
445 451 11
194 239 86
360 371 96
141 259 46
372 172 30
92 143 1
470 466 62
106 386 61
218 29 31
182 82 87
152 76 39
292 268 7
496 183 8
32 253 27
68 259 40
338 242 56
323 314 74
178 473 90
185 342 84
111 269 68
433 407 11
360 490 98
307 128 17
280 153 86
77 265 56
125 246 65
291 105 28
23 209 32
58 304 79
119 441 52
317 498 50
38 274 53
368 198 5
68 27 69
429 222 31
424 213 31
358 337 44
308 324 62
136 296 33
493 138 51
9 346 23
14 188 76
499 11 5
15 198 28
21 26 44
493 458 69
226 474 82
134 367 81
225 305 88
97 259 70
287 176 35
468 176 84
245 300 55
286 271 17
395 15 15
226 195 5
465 252 14
93 236 90
329 254 48
72 62 83
219 246 77
337 328 2
90 133 5
467 6 81
157 276 14
490 318 81
118 495 21
402 311 28
16 385 92
338 190 37
277 103 85
119 206 1
1 200 98
225 397 49
435 227 34
193 381 24
237 213 52
455 310 66
229 97 64
404 336 21
105 190 80
396 6 34
347 82 7
211 417 78
276 242 18
472 100 22
427 266 84
289 354 25
144 333 97
481 91 47
229 267 37
378 169 27
345 19 6
183 102 94
394 263 2
129 381 3
301 30 47
19 216 44
124 434 19
405 135 94
254 27 6
268 196 25
399 396 90
394 103 100
270 473 97
162 444 35
334 35 6
138 376 39
244 183 17
336 7 56
264 68 27
76 60 59
269 220 62
397 194 1
286 49 94
196 102 3
209 340 17
320 199 99
215 244 8
449 322 64
76 253 38
194 225 1
58 310 47
425 58 44
360 204 42
101 201 8
177 223 53
212 63 85
48 79 5
71 266 31
442 34 25
480 412 100
145 284 33
84 431 30
32 390 1
124 220 42
226 468 54
306 193 14
268 145 41
375 386 74
431 242 30
479 35 49
493 48 34
187 265 65
198 94 2
324 376 33
455 143 10
232 242 70
356 91 27
368 422 100
107 265 96
464 258 33
183 21 27
19 120 59
413 41 1
194 462 67
129 72 60
295 29 84
55 126 14
51 489 89
470 370 50
115 246 97
429 473 14
447 493 23
16 140 1
80 336 28
106 369 45
361 114 12
295 469 98
64 105 5
174 483 30
46 101 84
41 211 96
243 452 63
175 72 29
201 15 53
67 154 44
492 183 100
115 313 36
198 332 76
2 291 33
398 255 51
343 158 15
228 371 71
93 30 61
153 163 27
325 478 97
491 399 60
275 268 32
85 408 78
364 467 22
343 375 45
39 389 52
230 243 92
321 341 96
259 112 22
63 238 35
98 104 3
7 358 14
438 340 58
422 144 34
328 6 21
127 374 42
437 348 82
190 461 70
62 264 85
254 453 36
362 227 56
118 407 92
117 99 14
13 307 24
430 246 23
170 115 54
240 46 69
403 146 17
121 344 55
0 487 41
255 367 86
143 195 21
446 422 18
279 232 31
447 276 19
200 122 4
159 496 42
282 400 81
337 62 77
297 240 37
230 352 82
347 203 79
291 178 96
30 336 36
351 160 20
175 141 8
187 51 90
400 430 9
407 391 15
151 141 61
154 471 27
38 230 80
269 248 83
409 442 42
84 489 8
338 480 57
48 299 34
104 56 55
483 69 99
243 89 15
457 309 10
106 332 73
30 467 15
94 378 18
226 404 57
427 139 89
5 122 2
199 188 44
92 141 61
472 181 95
491 333 47
485 232 82
118 400 38
179 331 72
239 321 78
170 492 96
240 438 9
182 405 13
192 9 95
493 388 23
272 150 63
450 355 64
452 455 2
223 71 84
283 419 12
49 305 26
200 203 82
161 354 92
84 74 30
284 433 19
239 186 56
320 476 16
277 428 10
140 33 98
281 415 72
175 300 87
271 355 74
489 107 25
375 70 47
193 356 87
258 313 68
57 225 64
460 175 72
158 362 30
381 74 22
319 17 15
134 116 88
253 89 81
256 223 27
271 218 34
176 126 9
281 342 12
340 341 67
465 490 44
388 74 60
330 429 76
468 216 88
274 46 12
490 428 8
51 316 1
406 441 33
135 171 31
64 398 100
76 139 44
188 138 40
418 70 61
104 179 74
53 161 18
290 252 52
388 185 16
144 80 2
162 374 96
464 349 4
497 389 46
313 364 65
36 34 15
33 65 99
435 58 55
404 224 48
90 132 67
8 295 84
29 210 73
378 104 39
85 209 75
355 484 95
68 131 65
186 209 39
369 291 40
287 58 91
331 331 48
9 65 93
435 481 96
499 363 31
324 74 27
182 177 83
144 36 80
144 282 12
304 411 20
388 12 76
317 301 41
433 136 87
249 88 85
318 271 95
470 99 31
295 416 44
195 300 43
469 292 81
78 136 43
174 53 100
56 482 8
305 201 26
348 312 3
336 21 26
237 400 4
290 190 23
332 304 69
210 162 69
173 138 18
278 12 74
221 246 29
305 349 28
350 378 70
49 12 98
78 35 53
185 144 35
480 90 2
453 435 33
360 117 26
90 149 82
185 325 69
448 152 60
238 267 97
386 137 56
351 54 97
247 269 26
82 243 8
211 55 94
281 18 65
137 124 14
421 456 67
462 266 70
45 400 96
289 410 36
381 473 16
387 473 35
403 208 89
369 253 55
106 77 30
283 285 27
438 290 79
408 471 69
58 29 90
193 350 85
81 494 14
331 64 70
363 392 63
62 96 37
309 18 96
221 155 18
161 486 4
130 90 46
87 478 2
196 354 15
417 13 9
111 285 6
102 243 59
9 240 84
468 341 60
7 101 97
277 155 19
8 323 33
208 470 91
74 383 100
422 97 13
136 20 51
56 324 66
154 92 13
22 247 94
498 103 75
293 291 97
164 20 37
150 120 97
120 201 32
216 33 27
132 21 37
481 211 80
358 265 82
487 177 96
205 215 90
101 3 82
329 475 27
477 202 18
99 451 87
56 208 21
369 415 40
202 354 7
386 346 94
310 13 80
286 328 28
405 177 30
404 59 96
271 395 48
22 154 85
328 274 3
59 186 74
244 489 27
45 92 36
289 128 93
217 278 26
204 275 29
434 263 8
306 453 36
220 140 90
178 344 80
490 71 71
116 168 5
426 141 39
390 458 8
79 243 74
198 190 78
70 316 93
351 172 20
131 237 62
421 241 90
46 280 83
76 114 1
251 261 24
432 185 33
138 394 83
232 382 95
347 171 98
201 95 78
178 153 61
497 382 26
116 347 23
376 203 74
7 66 17
437 263 3
458 431 34
340 273 30
95 362 27
459 294 92
240 121 98
164 477 5
159 447 6
21 481 67
73 257 2
128 377 11
159 459 85
415 169 39
357 431 17
167 428 37
38 89 46
288 302 77
457 221 25
210 440 98
294 254 13
221 396 93
400 83 51
367 132 72
403 351 50
234 182 29
324 471 10
257 80 9
32 177 86
89 45 16
461 320 91
489 375 61
36 319 20
51 152 40
73 304 45
401 320 28
13 269 8
452 150 18
112 438 69
284 5 25
74 298 78
455 244 26
119 463 22
345 433 25
454 466 17
141 406 15
248 180 24
38 92 63
315 457 14
486 297 69
197 53 15
282 134 45
453 120 4
417 463 3
27 489 40
236 301 40
110 23 94
403 83 45
121 290 52
223 448 10
15 478 37
297 399 98
414 36 1
198 432 4
433 209 12
494 160 67
359 258 53
152 297 3
270 406 53
83 25 58
491 241 32
5 234 84
359 465 57
372 185 54
382 445 86
147 15 56
204 499 64
77 56 93
237 355 75
164 365 34
79 136 65
87 432 50
165 371 84
423 340 51
376 223 9
493 1 21
473 256 52
263 9 73
421 401 7
332 402 76
258 297 88
32 269 77
7 278 8
203 28 75
342 12 60
452 12 39
263 144 76
148 110 75
56 100 34
461 159 32
119 338 46
7 42 2
468 26 100
44 289 53
416 148 31
197 187 63
355 178 2
263 356 6
324 317 47
480 375 58
219 226 1
481 50 11
380 134 89
343 304 77
286 73 45
499 149 17
430 227 9
25 64 1
444 286 87
371 224 38
2 452 58
163 122 77
62 7 99
25 130 90
31 45 28
471 304 77
457 247 40
158 97 49
136 200 72
131 19 65
409 347 72
200 146 73
8 392 70
457 257 13
260 30 100
204 164 94
244 219 13
456 199 24
358 239 38
35 170 33
183 157 36
137 79 92
411 383 72
144 259 94
180 36 93
228 413 97
180 184 28
224 293 78
329 439 18
125 3 50
84 437 44
17 14 45
452 338 14
451 345 89
263 151 75
112 316 66
268 285 21
459 227 47
288 73 3
5 20 36
237 293 17
367 194 89
116 467 52
1 358 89
125 197 7
498 255 90
106 211 30
163 60 53
482 114 99
8 69 50
488 292 94
185 64 25
225 466 8
394 32 48
392 257 49
30 435 47
406 4 78
480 246 71
3 403 19
32 17 14
394 372 61
441 178 40
107 325 76
140 383 16
255 254 43
220 32 100
132 144 74
467 125 80
446 195 67
217 209 41
246 226 51
488 481 34
127 144 43
98 125 94
437 95 13
388 172 93
197 116 83
467 194 71
419 35 3
249 317 23
333 274 95
62 28 32
75 304 74
71 291 68
42 261 22
261 410 39
335 313 47
142 492 81
139 203 62
434 480 50
139 357 65
373 192 46
348 13 94
356 277 3
88 73 3
5 407 31
399 372 6
411 391 69
156 499 99
4 117 12
80 389 34
30 71 43
96 411 48
272 212 24
277 147 84
186 222 24
482 253 27
89 44 47
225 186 16
475 356 55
302 330 22
71 74 35
214 357 27
144 57 95
263 209 35
247 186 96
457 165 8
212 482 3
107 186 44
69 284 30
61 473 92
255 199 75
292 437 14
226 131 57
305 370 57
403 92 42
288 80 72
455 34 60
64 275 62
63 461 9
452 116 66
357 243 42
